"Instructions: for each of the following Facebook image files (column A), complete the following questions using the provided annotation scheme.   ","Check the box corresponding to each question for a 'Yes' response, and leave the box unchecked for a 'No' response.",,,,
facebook_dataset_houses_Joyce Beatty _mobile2_78.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Joyce Beatty _time2_164.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Jrmar Jefferson_time1_21.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Jrmar Jefferson_time1_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_time1_96.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_time1_61.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_time1_170.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_time1_87.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_mobile1_124.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Juan Vargas_time1_137.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_time1_113.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_time1_140.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_time1_172.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_time1_160.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_time1_114.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_time1_112.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Judy Chu_mobile1_175.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_time2_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_time2_37.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_time2_110.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_mobile2_1.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_time2_145.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_time2_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julia Brownley_time2_151.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_291.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_254.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_351.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_181.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_147.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_283.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Julie Oliver_time1_332.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_90.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_216.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_237.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_349.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Junius Rodriguez_time1_330.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_mobile1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_time1_11.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_time1_36.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_mobile1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_mobile1_88.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_mobile1_10.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin DeWitt_mobile1_11.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_176.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_222.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_141.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_512.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_521.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_474.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Justin Kanew_mobile1_252.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_time1_163.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_time1_246.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_time1_196.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_mobile1_112.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_time1_187.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_time1_226.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kara Eastman_time1_220.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_mobile1_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_time1_41.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_time1_63.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_time1_43.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_time1_133.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_mobile1_41.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen Bass_mobile1_46.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_time1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_time1_127.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_time1_79.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_time1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_mobile1_48.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_time1_41.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Karen McCormick_time1_31.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time2_184.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time2_160.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time1_290.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time2_241.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time1_236.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time2_268.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Kate Brown_time1_150.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_58.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_109.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_128.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_126.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_113.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katherine Clark_mobile2_67.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time1_79.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time2_22.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time1_77.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time2_18.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time1_80.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time2_19.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Rice_time1_88.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_mobile1_61.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_time1_207.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_time1_246.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_time1_27.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_time1_193.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_mobile1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathleen Williams_mobile1_51.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_time1_278.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_time1_358.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_time1_337.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_mobile1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_time1_319.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_time1_363.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Castor_time1_299.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _mobile1_45.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _time1_22.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _time1_164.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _time1_181.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _mobile1_208.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _mobile1_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kathy Manning _mobile1_158.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_time1_152.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_time1_130.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_time1_159.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_time1_229.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_mobile1_222.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_time1_214.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Hill_time1_125.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_time1_272.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_time1_259.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_time1_143.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_time1_78.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_time1_245.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_mobile1_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katie Porter_time1_115.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_20.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_29.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_26.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_9.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Katy Geppert _mobile1_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_449.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_38.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_444.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_74.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_175.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_202.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ken Harbaugh_time1_320.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_time1_33.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_mobile1_91.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_mobile1_103.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_time1_59.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_time1_16.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_time1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Fershee_time1_5.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_90.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_190.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_376.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_176.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_104.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kendra Horn_time1_324.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_mobile1_123.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_time1_54.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_time1_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_time1_43.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_time1_47.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_time1_33.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kevin Gaither_mobile1_148.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_time1_51.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_time1_78.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_time1_23.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_time1_11.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_time1_58.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_time1_50.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kevin de Leon_mobile1_114.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_mobile1_43.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_time1_155.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_time1_204.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_time1_69.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_time1_86.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_time1_54.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kim Schrier_time1_181.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_time1_424.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_mobile1_253.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_time1_521.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_time1_706.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_time1_304.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_time1_217.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kimberly Bizon_mobile1_299.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_196.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_232.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_184.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_216.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_236.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_250.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Kirsten Gillibrand_time1_187.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time2_468.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time1_321.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time2_604.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time2_648.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time2_938.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time2_450.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Krysten Sinema_time1_378.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_mobile2_33.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_time2_185.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_time2_122.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_time1_22.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_time2_177.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_mobile2_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kurt Schrader_mobile2_28.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_mobile1_278.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_time1_220.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_time1_118.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_time1_221.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_time1_249.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_mobile1_261.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Kyle Horton_mobile1_265.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lacy Clay_time1_9.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lacy Clay_time1_6.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lacy Clay_time1_7.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lacy Clay_time1_8.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_mobile1_47.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_time1_38.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_time1_37.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_time1_30.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_time1_33.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_time1_91.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Laura Kelly_mobile1_48.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_time1_158.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_time1_14.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_time1_30.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_time1_74.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_time1_23.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_mobile1_20.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Baer_time1_32.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_mobile1_43.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_time1_188.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_time1_98.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_time1_219.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_time1_173.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_time1_226.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lauren Underwood_time1_127.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_mobile1_286.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_time1_16.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_time1_173.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_time1_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_mobile1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_time1_25.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Lee Castillo_time1_70.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _mobile1_237.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _mobile1_229.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _mobile1_93.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _mobile1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _mobile1_225.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _time1_6.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Coleman _time1_4.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Sanchez_time1_124.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Sanchez_time1_87.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Sanchez_time1_239.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Sanchez_mobile1_108.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Sanchez_mobile1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Linda Sanchez_mobile1_125.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
